10_013	galg	1	author:Lukas Lewark;date:3 July 2023
10_014	galg	2	author:Lukas Lewark;date:3 July 2023
10_015	galg	1	author:Lukas Lewark;date:3 July 2023
10_016	galg	1	author:Lukas Lewark;date:3 July 2023
10_017	galg	1	author:Lukas Lewark;date:3 July 2023
10_018	galg	1	author:Lukas Lewark;date:3 July 2023
10_019	galg	1	author:Lukas Lewark;date:3 July 2023
10_020	galg	1	author:Lukas Lewark;date:3 July 2023
10_021	galg	2	author:Lukas Lewark;date:3 July 2023
10_022	galg	1	author:Lukas Lewark;date:3 July 2023
10_023	galg	1	author:Lukas Lewark;date:3 July 2023
10_024	galg	1	author:Lukas Lewark;date:3 July 2023
10_025	galg	2	author:Lukas Lewark;date:3 July 2023
10_026	galg	1	author:Lukas Lewark;date:3 July 2023
10_027	galg	1	author:Lukas Lewark;date:3 July 2023
10_028	galg	1	author:Lukas Lewark;date:3 July 2023
10_029	galg	1	author:Lukas Lewark;date:3 July 2023
10_030	galg	1	author:Lukas Lewark;date:3 July 2023
10_031	galg	1	author:Lukas Lewark;date:3 July 2023
10_032	galg	1	author:Lukas Lewark;date:3 July 2023
10_033	galg	1	author:Lukas Lewark;date:3 July 2023
10_034	galg	1	author:Lukas Lewark;date:3 July 2023
10_035	galg	1	author:Lukas Lewark;date:3 July 2023
10_036	galg	1	author:Lukas Lewark;date:3 July 2023
10_037	galg	1	author:Lukas Lewark;date:3 July 2023
10_038	galg	1	author:Lukas Lewark;date:3 July 2023
10_039	galg	2	author:Lukas Lewark;date:3 July 2023
10_040	galg	1	author:Lukas Lewark;date:3 July 2023
10_041	galg	1	author:Lukas Lewark;date:3 July 2023
10_042	galg	1	author:Lukas Lewark;date:3 July 2023
10_043	galg	1	author:Lukas Lewark;date:3 July 2023
10_044	galg	1	author:Lukas Lewark;date:3 July 2023
10_045	galg	1	author:Lukas Lewark;date:3 July 2023
10_046	galg	3	author:Lukas Lewark;date:3 July 2023
10_047	galg	2	author:Lukas Lewark;date:3 July 2023
10_048	galg	1	author:Lukas Lewark;date:3 July 2023
10_049	galg	3	author:Lukas Lewark;date:3 July 2023
10_050	galg	2	author:Lukas Lewark;date:3 July 2023
10_051	galg	1	author:Lukas Lewark;date:3 July 2023
10_052	galg	1	author:Lukas Lewark;date:3 July 2023
10_053	galg	2	author:Lukas Lewark;date:3 July 2023
10_054	galg	1	author:Lukas Lewark;date:3 July 2023
10_055	galg	2	author:Lukas Lewark;date:3 July 2023
10_056	galg	2	author:Lukas Lewark;date:3 July 2023
10_057	galg	1	author:Lukas Lewark;date:3 July 2023
10_058	galg	1	author:Lukas Lewark;date:3 July 2023
10_059	galg	1	author:Lukas Lewark;date:3 July 2023
10_060	galg	1	author:Lukas Lewark;date:3 July 2023
10_061	galg	2	author:Lukas Lewark;date:3 July 2023
10_062	galg	2	author:Lukas Lewark;date:3 July 2023
10_063	galg	2	author:Lukas Lewark;date:3 July 2023
10_064	galg	1	author:Lukas Lewark;date:3 July 2023
