name,name,galg,galg-lo,galg-hi,taylor,taylor-lo,taylor-hi
11a_179,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_180,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_181,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_182,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_183,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_184,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_185,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_186,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_187,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_188,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_189,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_190,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_191,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_192,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_193,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_194,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_195,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_196,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_197,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_198,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_199,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_200,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_201,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11a_202,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_203,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_204,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_205,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_206,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_207,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_208,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_209,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_210,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_211,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_212,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_213,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_214,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_215,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_216,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_217,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_218,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_219,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_220,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_221,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_222,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_223,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_224,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_225,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_226,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_227,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_228,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_229,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_230,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_231,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_232,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_233,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_234,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_235,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_236,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_237,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_238,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_239,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_240,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_241,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_242,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_243,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_244,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_245,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_246,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_247,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_248,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_249,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_250,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_251,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_252,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_253,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_254,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_255,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_256,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_257,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_258,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_259,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_260,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_261,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_262,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_263,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_264,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_265,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_266,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_267,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_268,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_269,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_270,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_271,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_272,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_273,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_274,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_275,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_276,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_277,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_278,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_279,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_280,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_281,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_282,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_283,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_284,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_285,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_286,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_287,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_288,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_289,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_290,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_291,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_292,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_293,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_294,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_295,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_296,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_297,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_298,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_299,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_300,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_301,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_302,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_303,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_304,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_305,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_306,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_307,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_308,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_309,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_310,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_311,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_312,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_313,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_314,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_315,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_316,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11a_317,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_318,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_319,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_320,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_321,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_322,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_323,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_324,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_325,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_326,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11a_327,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_328,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_329,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_330,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_331,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_332,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_333,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_334,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_335,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_336,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_337,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_338,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_339,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_340,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_341,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_342,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_343,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_344,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_345,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_346,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_347,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11a_348,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_349,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_350,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_351,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_352,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_353,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_354,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_355,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_356,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_357,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_358,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_359,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_360,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_361,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_362,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11a_363,,1,Alexander polynomial non-trivial,Span of Alexander polynomial,1,Fox-Milnor condition,Topological slice genus
11a_364,,4,Signature,Algebraic unknotting number,4,Signature,Topological slice genus
11a_365,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11a_366,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11a_367,,5,Signature,Algebraic unknotting number,5,Signature,Topological slice genus
11n_001,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_002,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_003,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_004,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_005,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_006,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_007,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_008,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_009,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_010,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_011,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_012,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_013,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_014,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_015,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_016,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_017,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_018,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_019,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_020,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_021,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_022,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_023,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_024,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_025,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_026,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_027,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_028,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_029,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_030,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_031,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_032,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_033,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_034,,0,Algebraic genus >= 0 for all knots,Span of Alexander polynomial,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_035,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_036,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_037,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_038,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_039,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_040,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_041,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_042,,0,Algebraic genus >= 0 for all knots,Span of Alexander polynomial,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_043,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_044,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_045,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_046,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_047,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_048,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_049,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_050,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_051,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_052,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_053,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_054,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_055,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_056,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_057,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_058,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_059,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_060,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_061,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_062,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_063,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_064,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_065,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_066,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_067,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_068,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_069,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_070,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_071,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_072,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_073,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_074,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_075,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_076,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_077,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_078,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_079,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_080,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_081,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_082,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_083,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
11n_084,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_085,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_086,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_087,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_088,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_089,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_090,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_091,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_092,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
11n_093,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
11n_094,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_095,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
11n_096,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
11n_097,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
