name,name,galg,galg-lo,galg-hi,taylor,taylor-lo,taylor-hi
09_31,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
09_32,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_33,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_34,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_35,,1,Alexander polynomial non-trivial,Span of Alexander polynomial,1,Fox-Milnor condition,Topological slice genus
09_36,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_37,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_38,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_39,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_40,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
09_41,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],0,Taylor invariant >= 0 for all knots,Algebraically slice
09_42,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_43,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
09_44,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_45,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_46,,1,Alexander polynomial non-trivial,Span of Alexander polynomial,0,Taylor invariant >= 0 for all knots,Algebraically slice
09_47,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
09_48,,2,Linking pairing of double branched covering [FL19],Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
09_49,,2,Signature,Explicit Alex-triv subgroups [LM19],2,Signature,Topological slice genus
10_001,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_002,,3,Signature,Algebraic unknotting number,3,Signature,Topological slice genus
10_003,,1,Alexander polynomial non-trivial,Span of Alexander polynomial,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_004,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_005,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_006,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_007,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_008,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_009,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_010,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_011,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_012,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_013,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_014,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_015,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_016,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_017,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_018,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_019,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_020,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_021,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_022,,1,Alexander polynomial non-trivial,Algebraic unknotting number,0,Taylor invariant >= 0 for all knots,Algebraically slice
10_023,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_024,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_025,,2,Signature,Algebraic unknotting number,2,Signature,Topological slice genus
10_026,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_027,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_028,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_029,,1,Alexander polynomial non-trivial,Explicit Alex-triv subgroups [LM19],1,Fox-Milnor condition,Topological slice genus
10_030,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_031,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_032,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_033,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
10_034,,1,Alexander polynomial non-trivial,Algebraic unknotting number,1,Fox-Milnor condition,Topological slice genus
